"X","B","Y"
19,12.5,10.25
11,8.5,11.25
14,23,25.5
20,14,20
12,18,18
6,5,10.5
21,14.5,16.25
6,14,16
19,23.5,13.75
19,21.5,21.75
25,25.5,16.75
25,15.5,12.75
26,27,24.5
11,10.5,11.25
26,18,11
12,10,19
18,15,12.5
3,3.5,2.75
21,20.5,21.25
21,16.5,21.25
5,12.5,8.25
19,18.5,16.25
11,17.5,19.75
17,21.5,11.75
9,19.5,20.75
15,11.5,18.75
8,8,8
15,16.5,19.25
15,11.5,6.75
12,16,13
12,18,13
12,21,12.5
19,20.5,16.25
7,18.5,22.25
11,18.5,17.25
24,19,14.5
12,13,20.5
20,15,17.5
15,23.5,17.75
23,25.5,23.75
10,9,6.5
7,14.5,9.25
15,18.5,11.25
13,9.5,17.75
14,22,18
23,23.5,16.75
21,17.5,22.75
16,14,21
9,15.5,21.75
18,15,11.5
7,13.5,14.75
18,15,8.5
10,16,13
15,18.5,15.25
13,11.5,12.75
21,22.5,15.25
7,18.5,14.25
13,10.5,11.25
16,23,25.5
15,16.5,12.25
17,17.5,12.75
10,17,9.5
13,19.5,22.75
19,20.5,24.25
10,7,14.5
19,16.5,21.25
12,16,12
15,14.5,18.25
11,20.5,17.25
10,11,17.5
23,20.5,18.25
15,22.5,19.25
20,21,23.5
8,7,4.5
28,28,18
14,9,17.5
3,3.5,4.75
15,21.5,25.75
12,21,11.5
11,17.5,13.75
18,17,15.5
10,21,23.5
16,24,26
15,13.5,8.75
13,20.5,16.25
18,25,13.5
11,19.5,24.75
16,20,13
12,8,19
17,17.5,21.75
14,10,6
12,20,24
16,24,19
21,16.5,12.25
13,20.5,23.25
17,10.5,14.25
19,23.5,23.75
14,19,23.5
12,20,23
8,11,12.5
11,17.5,9.75
26,21,20.5
11,8.5,12.25
22,20,15
11,10.5,9.25
6,12,18
20,24,22
16,12,13
11,10.5,6.25
8,7,9.5
8,16,13
16,11,14.5
20,19,21.5
14,13,18.5
22,20,13
12,12,16
15,19.5,23.75
28,20,24
12,15,8.5
7,14.5,14.25
11,15.5,8.75
11,10.5,15.25
12,9,19.5
23,15.5,22.75
16,15,12.5
15,11.5,9.75
15,16.5,18.25
18,11,17.5
14,11,14.5
23,24.5,17.25
15,9.5,17.75
16,23,15.5
15,16.5,22.25
14,9,9.5
5,16.5,17.25
25,18.5,23.25
11,8.5,9.25
17,16.5,20.25
20,19,23.5
9,6.5,13.25
14,17,13.5
17,22.5,19.25
18,12,21
25,14.5,15.25
18,23,13.5
15,15.5,10.75
13,17.5,12.75
8,6,7
18,14,15
8,10,18
11,10.5,8.25
11,20.5,18.25
17,16.5,22.25
18,21,14.5
25,20.5,20.25
7,11.5,6.75
23,21.5,25.75
14,17,15.5
29,20.5,19.25
27,28.5,27.25
12,18,14
27,26.5,16.25
15,12.5,15.25
16,14,17
15,18.5,15.25
8,7,18.5
11,7.5,15.75
9,14.5,8.25
10,16,14
15,18.5,13.25
16,23,23.5
17,15.5,13.75
15,23.5,16.75
10,14,22
26,22,21
20,24,27
12,16,12
14,19,12.5
13,8.5,17.25
16,23,23.5
17,21.5,14.75
26,27,19.5
27,22.5,24.25
19,19.5,20.75
29,16.5,16.25
12,12,12
21,17.5,19.75
26,17,15.5
10,8,6
4,16,9
20,20,20
13,11.5,10.75
8,17,18.5
21,18.5,23.25
5,9.5,18.75
11,8.5,8.25
20,12,20
10,10,11
30,23,18.5
11,10.5,19.25
13,12.5,18.25
11,7.5,12.75
15,23.5,23.75
16,22,21
15,12.5,7.25
12,19,20.5
9,10.5,18.25
9,17.5,16.75
27,29.5,17.75
23,13.5,10.75
20,12,14
12,21,16.5
17,20.5,14.25
24,19,19.5
17,21.5,18.75
17,11.5,17.75
4,9,14.5
10,12,20
28,23,17.5
3,13.5,12.75
12,19,17.5
18,12,15
22,13,14.5
19,19.5,11.75
27,22.5,18.25
7,10.5,11.25
7,12.5,19.25
13,14.5,9.25
14,16,19
17,12.5,16.25
11,8.5,12.25
13,13.5,9.75
9,9.5,11.75
22,27,20.5
14,12,10
23,27.5,24.75
7,5.5,5.75
21,26.5,17.25
15,15.5,12.75
21,21.5,22.75
15,17.5,13.75
28,22,12
17,23.5,18.75
10,20,20
22,17,12.5
21,12.5,21.25
16,11,15.5
24,14,19
30,26,20
8,12,18
28,21,20.5
18,25,23.5
22,19,16.5
27,21.5,19.75
11,9.5,12.75
11,17.5,16.75
3,14.5,12.25
12,14,8
15,11.5,16.75
21,19.5,16.75
18,23,15.5
7,17.5,22.75
19,24.5,20.25
15,11.5,17.75
21,19.5,21.75
19,15.5,12.75
12,19,17.5
22,14,13
15,20.5,16.25
26,26,21
12,11,8.5
21,14.5,18.25
18,15,15.5
13,17.5,10.75
11,9.5,11.75
23,17.5,12.75
9,7.5,6.75
17,10.5,8.25
2,13,12.5
13,11.5,15.75
8,7,18.5
19,15.5,10.75
17,14.5,16.25
19,22.5,23.25
28,18,24
8,13,18.5
18,14,14
17,14.5,19.25
17,11.5,14.75
8,16,13
16,23,14.5
4,13,9.5
27,15.5,18.75
14,23,22.5
16,11,9.5
7,15.5,9.75
13,16.5,21.25
19,25.5,15.75
27,16.5,15.25
14,16,19
12,17,18.5
18,13,11.5
17,11.5,16.75
23,21.5,20.75
20,23,14.5
19,15.5,8.75
6,15,20.5
17,17.5,19.75
12,11,11.5
15,13.5,11.75
21,14.5,9.25
11,15.5,11.75
3,7.5,4.75
19,14.5,16.25
13,12.5,14.25
24,15,22.5
19,14.5,15.25
13,10.5,15.25
7,9.5,7.75
17,20.5,15.25
25,15.5,18.75
10,13,14.5
15,13.5,20.75
12,16,9
11,10.5,9.25
10,9,17.5
16,11,9.5
8,9,11.5
8,11,15.5
15,12.5,9.25
28,27,25.5
12,14,15
12,9,14.5
23,17.5,17.75
11,20.5,19.25
20,26,28
13,13.5,16.75
9,8.5,16.25
23,27.5,17.75
21,20.5,11.25
6,11,18.5
11,20.5,12.25
18,15,15.5
10,18,16
19,11.5,14.75
19,13.5,8.75
13,11.5,11.75
9,7.5,6.75
11,16.5,14.25
26,24,14
26,20,21
10,17,23.5
14,21,23.5
16,24,23
11,18.5,22.25
28,18,16
13,16.5,12.25
24,24,26
22,25,17.5
10,7,9.5
6,9,7.5
28,26,27
20,24,17
17,24.5,26.25
20,18,12
7,7.5,18.75
17,13.5,21.75
21,18.5,18.25
24,14,16
18,16,14
13,22.5,14.25
22,27,18.5
20,22,18
26,28,28
23,17.5,19.75
6,6,16
14,22,14
17,15.5,12.75
10,10,16
13,21.5,21.75
15,19.5,15.75
21,26.5,24.25
16,11,11.5
13,9.5,17.75
19,24.5,24.25
20,14,9
18,13,11.5
12,10,16
15,16.5,15.25
9,14.5,17.25
13,17.5,21.75
25,14.5,12.25
14,11,6.5
20,13,17.5
18,18,17
17,18.5,14.25
9,9.5,7.75
18,19,12.5
19,17.5,20.75
21,12.5,19.25
27,25.5,26.75
26,15,10.5
21,13.5,17.75
7,8.5,19.25
19,25.5,27.75
12,18,16
14,22,14
26,17,21.5
27,25.5,13.75
23,26.5,19.25
18,13,16.5
15,20.5,25.25
16,10,18
11,16.5,12.25
7,18.5,12.25
18,21,13.5
18,15,16.5
14,22,23
17,24.5,19.25
10,10,6
4,8,10
16,22,23
12,22,20
22,13,18.5
19,11.5,18.75
24,14,8
16,13,16.5
9,14.5,9.25
24,23,13.5
9,15.5,15.75
13,12.5,19.25
13,11.5,19.75
15,11.5,7.75
24,15,21.5
7,7.5,10.75
11,12.5,12.25
20,17,18.5
27,22.5,26.25
9,11.5,19.75
19,24.5,18.25
21,13.5,8.75
22,22,23
12,18,11
17,18.5,20.25
13,12.5,9.25
9,16.5,20.25
13,13.5,13.75
3,6.5,4.25
27,28.5,26.25
13,15.5,20.75
10,14,18
19,19.5,23.75
15,10.5,6.25
7,10.5,7.25
23,22.5,15.25
11,8.5,9.25
27,28.5,26.25
16,22,25
24,26,28
14,21,24.5
21,17.5,18.75
3,7.5,10.75
14,15,13.5
17,20.5,21.25
25,26.5,20.25
30,22,21
13,11.5,11.75
20,23,12.5
18,23,18.5
13,18.5,16.25
17,18.5,16.25
7,15.5,11.75
21,20.5,17.25
17,14.5,10.25
9,6.5,11.25
7,16.5,23.25
22,25,15.5
5,5.5,10.75
17,16.5,11.25
16,22,17
2,11,11.5
16,10,15
24,20,23
16,20,24
17,20.5,18.25
5,17.5,10.75
17,11.5,20.75
17,14.5,13.25
12,12,7
16,12,13
20,16,17
27,16.5,15.25
17,17.5,18.75
8,14,12
20,22,12
16,12,19
12,22,21
18,23,25.5
12,8,7
15,21.5,23.75
14,9,16.5
13,19.5,21.75
13,20.5,20.25
26,22,24
21,25.5,24.75
19,13.5,17.75
9,9.5,13.75
4,14,17
15,12.5,18.25
24,17,15.5
13,19.5,14.75
17,19.5,24.75
12,14,9
7,19.5,14.75
13,15.5,22.75
22,15,12.5
22,16,11
7,17.5,18.75
20,12,12
21,23.5,13.75
17,15.5,15.75
6,18,18
14,20,24
22,16,13
14,12,18
22,13,16.5
13,22.5,16.25
13,20.5,21.25
27,29.5,16.75
22,23,13.5
12,17,22.5
4,6,8
15,19.5,17.75
18,13,15.5
24,26,22
17,10.5,14.25
28,16,14
27,20.5,24.25
18,18,19
17,24.5,13.25
15,15.5,17.75
9,10.5,17.25
16,17,9.5
18,25,24.5
22,22,21
28,23,22.5
22,14,16
13,20.5,18.25
19,18.5,18.25
13,18.5,16.25
21,25.5,27.75
16,20,21
7,11.5,19.75
19,15.5,18.75
20,13,12.5
16,22,16
20,15,14.5
16,19,22.5
24,14,13
6,19,17.5
14,15,20.5
14,23,19.5
25,23.5,25.75
17,15.5,18.75
20,20,17
6,15,14.5
17,24.5,22.25
17,13.5,18.75
17,10.5,7.25
7,5.5,9.75
21,14.5,21.25
14,16,20
13,9.5,5.75
15,22.5,16.25
24,24,16
24,25,23.5
13,10.5,20.25
16,12,18
22,26,25
18,20,22
8,18,17
24,26,28
12,14,19
15,9.5,18.75
16,16,23
16,18,20
14,9,9.5
5,6.5,16.25
14,11,9.5
3,12.5,12.25
26,29,17.5
25,15.5,10.75
11,16.5,23.25
27,24.5,16.25
5,10.5,6.25
26,22,14
17,19.5,22.75
2,12,8
18,21,11.5
15,15.5,19.75
12,13,19.5
16,14,18
16,21,21.5
25,27.5,22.75
14,16,12
23,19.5,10.75
13,17.5,10.75
21,20.5,18.25
16,24,16
9,12.5,12.25
13,16.5,9.25
29,30.5,20.25
7,5.5,15.75
15,19.5,15.75
24,15,12.5
10,11,7.5
12,13,12.5
26,25,15.5
19,15.5,13.75
16,14,19
11,9.5,9.75
17,14.5,13.25
22,21,23.5
13,10.5,10.25
26,18,20
5,14.5,16.25
7,10.5,9.25
14,18,14
23,19.5,15.75
7,6.5,8.25
13,17.5,13.75
23,17.5,13.75
15,23.5,18.75
21,21.5,15.75
7,17.5,20.75
22,25,26.5
22,19,22.5
14,12,10
27,28.5,23.25
24,25,13.5
8,14,16
23,20.5,22.25
12,11,12.5
26,25,14.5
28,19,13.5
12,10,20
6,16,13
15,20.5,19.25
12,9,6.5
23,13.5,8.75
22,24,13
9,9.5,7.75
23,17.5,22.75
13,13.5,18.75
15,16.5,13.25
19,12.5,16.25
19,24.5,24.25
18,20,17
17,16.5,14.25
18,23,24.5
16,12,12
21,23.5,16.75
15,9.5,10.75
16,11,15.5
18,17,18.5
12,22,24
26,27,15.5
9,8.5,8.25
8,6,18
17,24.5,25.25
17,24.5,18.25
13,13.5,9.75
18,14,14
20,17,10.5
16,11,17.5
19,25.5,27.75
9,18.5,18.25
7,6.5,14.25
7,12.5,20.25
7,16.5,10.25
20,24,24
16,12,9
7,12.5,11.25
14,15,20.5
17,17.5,14.75
13,20.5,18.25
25,26.5,28.25
19,24.5,23.25
11,14.5,19.25
22,19,13.5
18,21,15.5
14,20,23
10,12,7
15,16.5,17.25
20,24,26
9,15.5,21.75
16,19,24.5
4,18,20
14,21,20.5
11,7.5,12.75
22,13,9.5
21,25.5,21.75
22,14,16
29,23.5,22.75
19,24.5,25.25
14,18,12
20,20,23
24,18,19
18,23,24.5
14,20,19
19,23.5,21.75
16,17,23.5
16,16,17
28,27,14.5
24,20,18
18,12,12
10,7,17.5
18,11,11.5
15,22.5,24.25
19,15.5,22.75
8,19,19.5
21,14.5,11.25
20,21,12.5
10,19,15.5
21,23.5,18.75
16,12,16
24,26,19
21,22.5,23.25
16,19,18.5
27,17.5,19.75
11,12.5,21.25
22,21,23.5
21,23.5,17.75
28,17,18.5
19,18.5,11.25
16,16,13
14,15,12.5
22,21,20.5
17,19.5,13.75
7,10.5,19.25
27,20.5,22.25
18,20,21
13,19.5,22.75
13,21.5,22.75
8,18,16
10,13,17.5
28,27,28.5
20,23,12.5
16,10,11
11,18.5,14.25
16,24,26
27,18.5,16.25
13,18.5,12.25
23,23.5,20.75
18,19,22.5
6,14,13
14,18,20
12,10,6
14,22,24
15,23.5,19.75
20,26,24
26,22,19
18,13,13.5
12,18,14
27,18.5,21.25
25,20.5,15.25
10,15,20.5
17,11.5,19.75
21,26.5,25.25
27,17.5,9.75
10,14,9
10,16,14
13,10.5,10.25
16,12,19
24,15,20.5
10,18,21
11,18.5,16.25
15,23.5,15.75
8,14,15
4,9,16.5
9,14.5,13.25
20,20,19
23,27.5,27.75
20,18,21
19,11.5,16.75
16,14,13
26,16,21
28,26,19
9,15.5,20.75
6,7,16.5
3,13.5,7.75
20,25,25.5
15,22.5,14.25
27,29.5,18.75
5,12.5,14.25
16,18,17
18,18,23
12,15,19.5
17,13.5,19.75
10,8,12
17,15.5,17.75
13,20.5,16.25
3,17.5,21.75
9,16.5,19.25
7,13.5,18.75
20,26,22
16,17,9.5
17,23.5,12.75
27,15.5,11.75
24,18,14
11,13.5,14.75
14,9,15.5
17,10.5,9.25
16,20,15
17,18.5,11.25
16,14,13
17,17.5,17.75
15,12.5,11.25
13,9.5,5.75
11,21.5,11.75
9,18.5,23.25
22,26,19
21,17.5,18.75
11,13.5,18.75
9,9.5,11.75
9,11.5,17.75
4,12,13
19,25.5,21.75
8,19,14.5
9,8.5,19.25
20,12,20
25,25.5,23.75
20,24,13
23,16.5,9.25
27,17.5,11.75
25,19.5,15.75
23,24.5,20.25
2,4,9
25,26.5,24.25
17,10.5,7.25
9,7.5,17.75
20,17,18.5
7,5.5,4.75
