"X","B","Y","U2"
19,12.5,10.25,2
11,8.5,11.25,2
14,23,25.5,15
20,14,20,3
12,18,18,11
6,5,10.5,1
21,14.5,16.25,3
6,14,16,10
19,23.5,13.75,13
19,21.5,21.75,11
25,25.5,16.75,12
25,15.5,12.75,2
26,27,24.5,13
11,10.5,11.25,4
26,18,11,4
12,10,19,3
18,15,12.5,5
3,3.5,2.75,1
21,20.5,21.25,9
21,16.5,21.25,5
5,12.5,8.25,9
19,18.5,16.25,8
11,17.5,19.75,11
17,21.5,11.75,12
9,19.5,20.75,14
15,11.5,18.75,3
8,8,8,3
15,16.5,19.25,8
15,11.5,6.75,3
12,16,13,9
12,18,13,11
12,21,12.5,14
19,20.5,16.25,10
7,18.5,22.25,14
11,18.5,17.25,12
24,19,14.5,6
12,13,20.5,6
20,15,17.5,4
15,23.5,17.75,15
23,25.5,23.75,13
10,9,6.5,3
7,14.5,9.25,10
15,18.5,11.25,10
13,9.5,17.75,2
14,22,18,14
23,23.5,16.75,11
21,17.5,22.75,6
16,14,21,5
9,15.5,21.75,10
18,15,11.5,5
7,13.5,14.75,9
18,15,8.5,5
10,16,13,10
15,18.5,15.25,10
13,11.5,12.75,4
21,22.5,15.25,11
7,18.5,14.25,14
13,10.5,11.25,3
16,23,25.5,14
15,16.5,12.25,8
17,17.5,12.75,8
10,17,9.5,11
13,19.5,22.75,12
19,20.5,24.25,10
10,7,14.5,1
19,16.5,21.25,6
12,16,12,9
15,14.5,18.25,6
11,20.5,17.25,14
10,11,17.5,5
23,20.5,18.25,8
15,22.5,19.25,14
20,21,23.5,10
8,7,4.5,2
28,28,18,13
14,9,17.5,1
3,3.5,4.75,1
15,21.5,25.75,13
12,21,11.5,14
11,17.5,13.75,11
18,17,15.5,7
10,21,23.5,15
16,24,26,15
15,13.5,8.75,5
13,20.5,16.25,13
18,25,13.5,15
11,19.5,24.75,13
16,20,13,11
12,8,19,1
17,17.5,21.75,8
14,10,6,2
12,20,24,13
16,24,19,15
21,16.5,12.25,5
13,20.5,23.25,13
17,10.5,14.25,1
19,23.5,23.75,13
14,19,23.5,11
12,20,23,13
8,11,12.5,6
11,17.5,9.75,11
26,21,20.5,7
11,8.5,12.25,2
22,20,15,8
11,10.5,9.25,4
6,12,18,8
20,24,22,13
16,12,13,3
11,10.5,6.25,4
8,7,9.5,2
8,16,13,11
16,11,14.5,2
20,19,21.5,8
14,13,18.5,5
22,20,13,8
12,12,16,5
15,19.5,23.75,11
28,20,24,5
12,15,8.5,8
7,14.5,14.25,10
11,15.5,8.75,9
11,10.5,15.25,4
12,9,19.5,2
23,15.5,22.75,3
16,15,12.5,6
15,11.5,9.75,3
15,16.5,18.25,8
18,11,17.5,1
14,11,14.5,3
23,24.5,17.25,12
15,9.5,17.75,1
16,23,15.5,14
15,16.5,22.25,8
14,9,9.5,1
5,16.5,17.25,13
25,18.5,23.25,5
11,8.5,9.25,2
17,16.5,20.25,7
20,19,23.5,8
9,6.5,13.25,1
14,17,13.5,9
17,22.5,19.25,13
18,12,21,2
25,14.5,15.25,1
18,23,13.5,13
15,15.5,10.75,7
13,17.5,12.75,10
8,6,7,1
18,14,15,4
8,10,18,5
11,10.5,8.25,4
11,20.5,18.25,14
17,16.5,22.25,7
18,21,14.5,11
25,20.5,20.25,7
7,11.5,6.75,7
23,21.5,25.75,9
14,17,15.5,9
29,20.5,19.25,5
27,28.5,27.25,14
12,18,14,11
27,26.5,16.25,12
15,12.5,15.25,4
16,14,17,5
15,18.5,15.25,10
8,7,18.5,2
11,7.5,15.75,1
9,14.5,8.25,9
10,16,14,10
15,18.5,13.25,10
16,23,23.5,14
17,15.5,13.75,6
15,23.5,16.75,15
10,14,22,8
26,22,21,8
20,24,27,13
12,16,12,9
14,19,12.5,11
13,8.5,17.25,1
16,23,23.5,14
17,21.5,14.75,12
26,27,19.5,13
27,22.5,24.25,8
19,19.5,20.75,9
29,16.5,16.25,1
12,12,12,5
21,17.5,19.75,6
26,17,15.5,3
10,8,6,2
4,16,9,13
20,20,20,9
13,11.5,10.75,4
8,17,18.5,12
21,18.5,23.25,7
5,9.5,18.75,6
11,8.5,8.25,2
20,12,20,1
10,10,11,4
30,23,18.5,7
11,10.5,19.25,4
13,12.5,18.25,5
11,7.5,12.75,1
15,23.5,23.75,15
16,22,21,13
15,12.5,7.25,4
12,19,20.5,12
9,10.5,18.25,5
9,17.5,16.75,12
27,29.5,17.75,15
23,13.5,10.75,1
20,12,14,1
12,21,16.5,14
17,20.5,14.25,11
24,19,19.5,6
17,21.5,18.75,12
17,11.5,17.75,2
4,9,14.5,6
10,12,20,6
28,23,17.5,8
3,13.5,12.75,11
12,19,17.5,12
18,12,15,2
22,13,14.5,1
19,19.5,11.75,9
27,22.5,18.25,8
7,10.5,11.25,6
7,12.5,19.25,8
13,14.5,9.25,7
14,16,19,8
17,12.5,16.25,3
11,8.5,12.25,2
13,13.5,9.75,6
