"X","B","Y"
16,4,3.2
10.5,7,4.1
17,14,19.2
18.5,13,6.9
16.5,9,13.7
9,8,3.4
16.5,9,5.7
10.5,9,12.7
6,2,13.6
21.5,11,14.3
13,4,13.2
13.5,5,3.5
18.5,11,16.3
7,6,5.8
14,2,4.6
17,14,7.2
13.5,5,6.5
3.5,1,1.3
17.5,11,12.3
21.5,13,8.9
6,2,9.6
14.5,7,10.1
12.5,11,14.3
5.5,1,12.3
9.5,11,17.3
12.5,13,6.9
9,4,4.2
10.5,11,11.3
3.5,1,3.3
9.5,5,10.5
9,4,12.2
5,2,14.6
12,6,11.8
12.5,13,17.9
7,8,14.4
13.5,5,7.5
14,14,10.2
18,10,7
6,6,16.8
16.5,11,16.3
9,2,3.6
3,2,10.6
9,2,10.6
12.5,13,5.9
9.5,7,16.1
15.5,5,12.5
22,14,10.2
16,14,9.2
9,14,14.2
14,4,6.2
6,8,11.4
16.5,1,5.3
9.5,5,11.5
14,6,11.8
10.5,7,6.1
17,4,12.2
9.5,5,15.5
11,6,4.8
12,14,18.2
5,4,9.2
17,4,9.2
5.5,1,11.3
10.5,13,15.9
21,14,14.2
11.5,11,4.3
22.5,13,9.9
8,4,10.2
10.5,11,9.3
7.5,7,16.1
14,12,8.6
20,8,10.4
17,8,16.4
16.5,13,13.9
8.5,1,2.3
18,4,14.2
16.5,13,4.9
4.5,3,1.9
16.5,15,17.5
7.5,1,14.3
11.5,5,12.5
17.5,7,9.1
11.5,13,18.9
12,14,19.2
5,2,5.6
15,6,14.8
12.5,1,15.3
13.5,15,17.5
9.5,3,11.9
17.5,15,5.5
11.5,13,11.9
13.5,1,2.3
11,14,17.2
15.5,7,17.1
9,4,6.2
19.5,13,16.9
12.5,9,3.7
12,12,16.6
19,14,15.2
18.5,13,16.9
6.5,7,8.1
