"X","B","Y"
16,4,1.2
10.5,7,2.1
17,14,4.2
18.5,13,3.9
16.5,9,2.7
9,8,2.4
16.5,9,2.7
10.5,9,2.7
6,2,0.6
21.5,11,3.3
13,4,1.2
13.5,5,1.5
18.5,11,3.3
7,6,1.8
14,2,0.6
17,14,4.2
13.5,5,1.5
3.5,1,0.3
17.5,11,3.3
21.5,13,3.9
6,2,0.6
14.5,7,2.1
12.5,11,3.3
5.5,1,0.3
9.5,11,3.3
12.5,13,3.9
9,4,1.2
10.5,11,3.3
3.5,1,0.3
9.5,5,1.5
9,4,1.2
5,2,0.6
12,6,1.8
12.5,13,3.9
7,8,2.4
13.5,5,1.5
14,14,4.2
18,10,3
6,6,1.8
16.5,11,3.3
9,2,0.6
3,2,0.6
9,2,0.6
12.5,13,3.9
9.5,7,2.1
15.5,5,1.5
22,14,4.2
16,14,4.2
9,14,4.2
14,4,1.2
6,8,2.4
16.5,1,0.3
9.5,5,1.5
14,6,1.8
10.5,7,2.1
17,4,1.2
9.5,5,1.5
11,6,1.8
12,14,4.2
5,4,1.2
17,4,1.2
5.5,1,0.3
10.5,13,3.9
21,14,4.2
11.5,11,3.3
22.5,13,3.9
8,4,1.2
10.5,11,3.3
7.5,7,2.1
14,12,3.6
20,8,2.4
17,8,2.4
16.5,13,3.9
8.5,1,0.3
18,4,1.2
16.5,13,3.9
4.5,3,0.9
16.5,15,4.5
7.5,1,0.3
11.5,5,1.5
17.5,7,2.1
11.5,13,3.9
12,14,4.2
5,2,0.6
15,6,1.8
12.5,1,0.3
13.5,15,4.5
9.5,3,0.9
17.5,15,4.5
11.5,13,3.9
13.5,1,0.3
11,14,4.2
15.5,7,2.1
9,4,1.2
19.5,13,3.9
12.5,9,2.7
12,12,3.6
19,14,4.2
18.5,13,3.9
6.5,7,2.1
